date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
31/01/2020;20;23;13;30;18;2;4;-13-18-20-23-30-;-2-4-
28/01/2020;31;27;1;19;38;5;4;-1-19-27-31-38-;-4-5-
24/01/2020;9;6;4;3;24;8;5;-3-4-6-9-24-;-5-8-
21/01/2020;36;10;24;11;46;3;5;-10-11-24-36-46-;-3-5-
17/01/2020;20;8;29;44;19;8;3;-8-19-20-29-44-;-3-8-
14/01/2020;25;39;21;44;29;9;8;-21-25-29-39-44-;-8-9-
10/01/2020;32;44;17;6;46;2;6;-6-17-32-44-46-;-2-6-
07/01/2020;8;37;12;5;43;11;6;-5-8-12-37-43-;-6-11-
03/01/2020;15;5;20;47;36;12;8;-5-15-20-36-47-;-8-12-
31/12/2019;41;31;48;33;26;4;2;-26-31-33-41-48-;-2-4-
27/12/2019;22;26;35;7;1;5;10;-1-7-22-26-35-;-5-10-
24/12/2019;47;14;11;13;3;3;6;-3-11-13-14-47-;-3-6-
20/12/2019;8;24;32;34;30;3;4;-8-24-30-32-34-;-3-4-
17/12/2019;7;1;12;25;49;9;6;-1-7-12-25-49-;-6-9-
13/12/2019;16;9;23;18;32;2;10;-9-16-18-23-32-;-2-10-
10/12/2019;19;47;21;2;10;8;2;-2-10-19-21-47-;-2-8-
06/12/2019;46;1;39;3;27;1;10;-1-3-27-39-46-;-1-10-
03/12/2019;32;31;38;18;48;12;4;-18-31-32-38-48-;-4-12-
29/11/2019;50;42;12;3;7;6;8;-3-7-12-42-50-;-6-8-
26/11/2019;34;3;15;2;19;5;8;-2-3-15-19-34-;-5-8-
22/11/2019;3;48;32;34;21;3;11;-3-21-32-34-48-;-3-11-
19/11/2019;10;15;42;30;8;4;6;-8-10-15-30-42-;-4-6-
15/11/2019;20;13;34;3;32;4;11;-3-13-20-32-34-;-4-11-
12/11/2019;1;25;21;39;23;2;4;-1-21-23-25-39-;-2-4-
08/11/2019;20;8;45;23;17;2;8;-8-17-20-23-45-;-2-8-
05/11/2019;25;14;33;9;48;12;2;-9-14-25-33-48-;-2-12-
01/11/2019;39;2;44;20;48;5;7;-2-20-39-44-48-;-5-7-
29/10/2019;49;42;28;16;18;10;5;-16-18-28-42-49-;-5-10-
25/10/2019;37;50;34;39;40;4;10;-34-37-39-40-50-;-4-10-
22/10/2019;2;5;33;47;32;7;8;-2-5-32-33-47-;-7-8-
18/10/2019;18;22;42;41;8;11;12;-8-18-22-41-42-;-11-12-
15/10/2019;3;34;31;32;28;4;5;-3-28-31-32-34-;-4-5-
11/10/2019;42;45;19;2;14;5;6;-2-14-19-42-45-;-5-6-
08/10/2019;44;15;49;10;7;3;12;-7-10-15-44-49-;-3-12-
04/10/2019;44;41;35;9;6;9;6;-6-9-35-41-44-;-6-9-
01/10/2019;40;18;11;2;46;4;1;-2-11-18-40-46-;-1-4-
27/09/2019;46;43;41;37;24;8;2;-24-37-41-43-46-;-2-8-
24/09/2019;2;48;33;47;42;1;2;-2-33-42-47-48-;-1-2-
20/09/2019;25;50;21;38;8;4;8;-8-21-25-38-50-;-4-8-
17/09/2019;22;45;43;44;37;1;12;-22-37-43-44-45-;-1-12-
13/09/2019;12;1;42;47;27;6;7;-1-12-27-42-47-;-6-7-
10/09/2019;3;30;49;25;22;3;6;-3-22-25-30-49-;-3-6-
06/09/2019;13;22;40;10;48;5;2;-10-13-22-40-48-;-2-5-
03/09/2019;44;11;38;7;39;10;7;-7-11-38-39-44-;-7-10-
30/08/2019;45;49;27;46;25;6;4;-25-27-45-46-49-;-4-6-
27/08/2019;26;8;35;47;43;9;1;-8-26-35-43-47-;-1-9-
23/08/2019;4;17;42;45;35;8;2;-4-17-35-42-45-;-2-8-
20/08/2019;23;24;22;20;37;1;4;-20-22-23-24-37-;-1-4-
16/08/2019;9;42;10;27;37;1;5;-9-10-27-37-42-;-1-5-
13/08/2019;31;13;33;29;40;2;3;-13-29-31-33-40-;-2-3-
09/08/2019;35;41;14;2;42;11;10;-2-14-35-41-42-;-10-11-
06/08/2019;38;12;29;36;13;4;12;-12-13-29-36-38-;-4-12-
02/08/2019;33;44;13;22;50;5;2;-13-22-33-44-50-;-2-5-
30/07/2019;15;27;23;40;20;3;6;-15-20-23-27-40-;-3-6-
26/07/2019;27;2;42;5;37;10;3;-2-5-27-37-42-;-3-10-
23/07/2019;38;19;23;1;14;7;3;-1-14-19-23-38-;-3-7-
19/07/2019;26;17;13;14;28;7;2;-13-14-17-26-28-;-2-7-
16/07/2019;5;13;18;39;3;8;7;-3-5-13-18-39-;-7-8-
12/07/2019;2;31;39;45;47;8;4;-2-31-39-45-47-;-4-8-
09/07/2019;32;7;41;36;29;7;6;-7-29-32-36-41-;-6-7-
05/07/2019;20;2;42;34;9;9;6;-2-9-20-34-42-;-6-9-
02/07/2019;19;44;11;29;45;12;8;-11-19-29-44-45-;-8-12-
28/06/2019;1;33;3;49;16;2;11;-1-3-16-33-49-;-2-11-
25/06/2019;27;34;6;26;46;1;9;-6-26-27-34-46-;-1-9-
21/06/2019;9;8;39;25;5;3;7;-5-8-9-25-39-;-3-7-
18/06/2019;44;40;12;37;24;3;7;-12-24-37-40-44-;-3-7-
14/06/2019;30;1;39;13;31;2;7;-1-13-30-31-39-;-2-7-
