date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
23/09/2016;14;39;42;49;16;9;3;-14-16-39-42-49-;-3-9-
20/09/2016;45;41;4;1;10;9;6;-1-4-10-41-45-;-6-9-
16/09/2016;32;5;22;8;14;2;11;-5-8-14-22-32-;-2-11-
13/09/2016;44;16;4;7;35;3;1;-4-7-16-35-44-;-1-3-
09/09/2016;28;4;11;17;15;1;3;-4-11-15-17-28-;-1-3-
09/06/2016;45;12;34;24;30;7;10;-12-24-30-34-45-;-7-10-
09/02/2016;50;40;16;32;8;2;11;-8-16-32-40-50-;-2-11-
30/08/2016;29;42;13;16;35;6;8;-13-16-29-35-42-;-6-8-
26/08/2016;48;9;30;28;1;7;8;-1-9-28-30-48-;-7-8-
23/08/2016;2;31;45;37;23;8;4;-2-23-31-37-45-;-4-8-
19/08/2016;22;6;5;25;34;7;5;-5-6-22-25-34-;-5-7-
16/08/2016;34;37;46;26;2;4;8;-2-26-34-37-46-;-4-8-
08/12/2016;15;50;36;2;28;11;2;-2-15-28-36-50-;-2-11-
08/09/2016;19;43;44;12;45;10;5;-12-19-43-44-45-;-5-10-
08/05/2016;19;16;24;37;35;2;7;-16-19-24-35-37-;-2-7-
08/02/2016;27;46;38;2;8;2;6;-2-8-27-38-46-;-2-6-
29/07/2016;40;26;50;1;21;4;2;-1-21-26-40-50-;-2-4-
26/07/2016;13;49;10;45;3;11;2;-3-10-13-45-49-;-2-11-
22/07/2016;26;45;24;7;37;9;5;-7-24-26-37-45-;-5-9-
19/07/2016;24;37;19;28;36;6;3;-19-24-28-36-37-;-3-6-
15/07/2016;2;11;14;13;21;1;8;-2-11-13-14-21-;-1-8-
07/12/2016;26;3;41;33;7;2;10;-3-7-26-33-41-;-2-10-
07/08/2016;12;18;8;44;33;8;4;-8-12-18-33-44-;-4-8-
07/05/2016;38;29;10;48;1;4;3;-1-10-29-38-48-;-3-4-
07/01/2016;11;50;13;40;2;10;1;-2-11-13-40-50-;-1-10-
28/06/2016;43;37;32;26;49;5;4;-26-32-37-43-49-;-4-5-
24/06/2016;11;19;39;28;27;3;10;-11-19-27-28-39-;-3-10-
21/06/2016;32;35;17;49;5;5;1;-5-17-32-35-49-;-1-5-
17/06/2016;43;1;18;27;7;8;4;-1-7-18-27-43-;-4-8-
14/06/2016;13;50;42;39;34;11;9;-13-34-39-42-50-;-9-11-
06/10/2016;21;35;42;14;43;7;9;-14-21-35-42-43-;-7-9-
06/07/2016;26;49;19;45;35;2;5;-19-26-35-45-49-;-2-5-
06/03/2016;7;31;39;23;33;6;10;-7-23-31-33-39-;-6-10-
31/05/2016;6;30;26;48;12;6;7;-6-12-26-30-48-;-6-7-
27/05/2016;46;27;13;43;25;4;8;-13-25-27-43-46-;-4-8-
24/05/2016;37;17;34;16;23;9;6;-16-17-23-34-37-;-6-9-
20/05/2016;41;9;30;14;45;4;9;-9-14-30-41-45-;-4-9-
17/05/2016;32;27;39;36;15;3;10;-15-27-32-36-39-;-3-10-
13/05/2016;31;28;42;15;7;10;11;-7-15-28-31-42-;-10-11-
05/10/2016;40;2;26;27;49;10;5;-2-26-27-40-49-;-5-10-
05/06/2016;45;48;40;34;32;10;1;-32-34-40-45-48-;-1-10-
05/03/2016;23;34;8;24;38;3;7;-8-23-24-34-38-;-3-7-
29/04/2016;4;25;28;5;43;6;11;-4-5-25-28-43-;-6-11-
26/04/2016;10;42;17;32;31;2;5;-10-17-31-32-42-;-2-5-
22/04/2016;32;43;26;34;17;2;10;-17-26-32-34-43-;-2-10-
19/04/2016;27;14;44;15;11;7;2;-11-14-15-27-44-;-2-7-
15/04/2016;13;32;37;14;48;1;7;-13-14-32-37-48-;-1-7-
04/12/2016;9;1;5;22;38;10;2;-1-5-9-22-38-;-2-10-
04/08/2016;43;8;49;6;26;10;6;-6-8-26-43-49-;-6-10-
04/05/2016;3;19;40;9;5;5;2;-3-5-9-19-40-;-2-5-
04/01/2016;23;25;2;49;16;6;9;-2-16-23-25-49-;-6-9-
29/03/2016;4;25;19;36;1;3;11;-1-4-19-25-36-;-3-11-
25/03/2016;43;36;12;42;19;8;5;-12-19-36-42-43-;-5-8-
22/03/2016;15;49;12;26;42;5;8;-12-15-26-42-49-;-5-8-
18/03/2016;14;49;21;19;24;5;11;-14-19-21-24-49-;-5-11-
15/03/2016;7;10;5;44;34;10;2;-5-7-10-34-44-;-2-10-
03/11/2016;26;43;1;21;40;9;6;-1-21-26-40-43-;-6-9-
03/08/2016;9;14;23;8;1;7;1;-1-8-9-14-23-;-1-7-
03/04/2016;9;23;40;16;14;1;5;-9-14-16-23-40-;-1-5-
03/01/2016;37;7;28;13;4;11;10;-4-7-13-28-37-;-10-11-
26/02/2016;13;50;5;33;15;9;11;-5-13-15-33-50-;-9-11-
23/02/2016;42;32;23;25;37;11;1;-23-25-32-37-42-;-1-11-
19/02/2016;32;13;14;39;30;3;9;-13-14-30-32-39-;-3-9-
16/02/2016;3;22;50;10;37;6;10;-3-10-22-37-50-;-6-10-
02/12/2016;31;49;28;20;3;5;2;-3-20-28-31-49-;-2-5-
02/09/2016;9;6;13;28;37;4;5;-6-9-13-28-37-;-4-5-
02/05/2016;46;32;27;3;41;4;8;-3-27-32-41-46-;-4-8-
02/02/2016;36;21;10;6;9;6;2;-6-9-10-21-36-;-2-6-
29/01/2016;29;32;23;1;5;1;7;-1-5-23-29-32-;-1-7-
26/01/2016;15;40;24;48;38;2;9;-15-24-38-40-48-;-2-9-
22/01/2016;27;10;30;47;12;9;8;-10-12-27-30-47-;-8-9-
19/01/2016;2;30;38;43;46;7;2;-2-30-38-43-46-;-2-7-
15/01/2016;43;38;19;10;46;1;11;-10-19-38-43-46-;-1-11-
01/12/2016;2;10;30;44;1;1;8;-1-2-10-30-44-;-1-8-
01/08/2016;35;33;26;40;5;3;8;-5-26-33-35-40-;-3-8-
01/05/2016;36;10;6;39;31;6;10;-6-10-31-36-39-;-6-10-
01/01/2016;44;37;38;39;4;4;7;-4-37-38-39-44-;-4-7-
29/12/2015;5;36;32;31;20;6;7;-5-20-31-32-36-;-6-7-
25/12/2015;10;27;40;3;25;9;3;-3-10-25-27-40-;-3-9-
22/12/2015;19;41;18;40;20;7;10;-18-19-20-40-41-;-7-10-
18/12/2015;22;6;26;29;48;5;6;-6-22-26-29-48-;-5-6-
15/12/2015;11;27;35;8;23;4;11;-8-11-23-27-35-;-4-11-
12/11/2015;43;5;21;3;40;11;6;-3-5-21-40-43-;-6-11-
12/08/2015;48;29;12;38;17;9;11;-12-17-29-38-48-;-9-11-
12/04/2015;17;27;18;39;8;7;1;-8-17-18-27-39-;-1-7-
12/01/2015;35;15;45;25;2;10;8;-2-15-25-35-45-;-8-10-
27/11/2015;50;16;30;37;29;6;8;-16-29-30-37-50-;-6-8-
24/11/2015;26;14;17;9;16;10;11;-9-14-16-17-26-;-10-11-
20/11/2015;34;49;30;46;4;8;7;-4-30-34-46-49-;-7-8-
17/11/2015;6;37;23;38;7;11;10;-6-7-23-37-38-;-10-11-
13/11/2015;33;10;18;40;17;8;2;-10-17-18-33-40-;-2-8-
11/10/2015;43;39;13;6;18;2;8;-6-13-18-39-43-;-2-8-
11/06/2015;26;40;38;17;3;4;10;-3-17-26-38-40-;-4-10-
11/03/2015;39;27;49;8;46;2;6;-8-27-39-46-49-;-2-6-
30/10/2015;34;13;17;8;21;6;7;-8-13-17-21-34-;-6-7-
27/10/2015;11;20;25;36;12;9;6;-11-12-20-25-36-;-6-9-
23/10/2015;25;7;32;39;30;2;8;-7-25-30-32-39-;-2-8-
20/10/2015;21;19;30;45;17;8;10;-17-19-21-30-45-;-8-10-
16/10/2015;28;43;7;48;29;3;10;-7-28-29-43-48-;-3-10-
13/10/2015;26;15;12;47;29;11;3;-12-15-26-29-47-;-3-11-
10/09/2015;43;42;47;40;1;9;11;-1-40-42-43-47-;-9-11-
10/06/2015;22;32;29;11;20;1;8;-11-20-22-29-32-;-1-8-
10/02/2015;21;35;7;32;18;11;2;-7-18-21-32-35-;-2-11-
29/09/2015;14;49;26;11;29;3;9;-11-14-26-29-49-;-3-9-
25/09/2015;14;37;30;13;23;8;2;-13-14-23-30-37-;-2-8-
22/09/2015;27;14;23;29;26;7;10;-14-23-26-27-29-;-7-10-
18/09/2015;39;34;33;7;29;8;7;-7-29-33-34-39-;-7-8-
15/09/2015;44;8;15;17;49;5;8;-8-15-17-44-49-;-5-8-
09/11/2015;19;50;10;29;18;9;1;-10-18-19-29-50-;-1-9-
09/08/2015;42;14;40;39;16;1;4;-14-16-39-40-42-;-1-4-
09/04/2015;27;8;45;9;50;8;10;-8-9-27-45-50-;-8-10-
09/01/2015;6;27;45;19;21;8;1;-6-19-21-27-45-;-1-8-
28/08/2015;11;34;30;29;31;4;7;-11-29-30-31-34-;-4-7-
25/08/2015;31;33;50;27;42;5;2;-27-31-33-42-50-;-2-5-
21/08/2015;47;4;16;18;43;10;6;-4-16-18-43-47-;-6-10-
18/08/2015;7;10;19;12;11;2;9;-7-10-11-12-19-;-2-9-
14/08/2015;45;4;44;7;39;3;5;-4-7-39-44-45-;-3-5-
08/11/2015;2;16;3;15;8;4;11;-2-3-8-15-16-;-4-11-
08/07/2015;1;5;21;44;39;4;11;-1-5-21-39-44-;-4-11-
08/04/2015;50;15;39;10;45;10;9;-10-15-39-45-50-;-9-10-
31/07/2015;34;21;16;50;40;6;9;-16-21-34-40-50-;-6-9-
28/07/2015;36;23;49;43;32;8;7;-23-32-36-43-49-;-7-8-
24/07/2015;21;46;2;9;35;2;11;-2-9-21-35-46-;-2-11-
21/07/2015;14;29;44;27;20;10;7;-14-20-27-29-44-;-7-10-
17/07/2015;21;48;22;1;43;9;7;-1-21-22-43-48-;-7-9-
14/07/2015;34;18;36;19;6;1;8;-6-18-19-34-36-;-1-8-
07/10/2015;35;8;15;5;41;5;4;-5-8-15-35-41-;-4-5-
07/07/2015;7;41;33;18;6;10;3;-6-7-18-33-41-;-3-10-
07/03/2015;11;18;44;15;12;3;9;-11-12-15-18-44-;-3-9-
30/06/2015;11;28;15;34;37;1;8;-11-15-28-34-37-;-1-8-
26/06/2015;10;19;6;3;24;5;7;-3-6-10-19-24-;-5-7-
23/06/2015;16;38;4;22;49;6;9;-4-16-22-38-49-;-6-9-
19/06/2015;7;14;20;31;42;9;3;-7-14-20-31-42-;-3-9-
16/06/2015;15;10;36;16;37;3;9;-10-15-16-36-37-;-3-9-
06/12/2015;11;10;37;5;8;9;7;-5-8-10-11-37-;-7-9-
06/09/2015;5;34;17;9;32;8;6;-5-9-17-32-34-;-6-8-
06/05/2015;8;7;2;48;45;9;1;-2-7-8-45-48-;-1-9-
06/02/2015;23;7;41;29;37;1;8;-7-23-29-37-41-;-1-8-
29/05/2015;4;20;48;45;3;8;6;-3-4-20-45-48-;-6-8-
26/05/2015;6;24;7;21;5;6;5;-5-6-7-21-24-;-5-6-
22/05/2015;18;44;35;24;45;5;11;-18-24-35-44-45-;-5-11-
19/05/2015;35;37;31;26;30;11;8;-26-30-31-35-37-;-8-11-
15/05/2015;47;42;44;5;35;9;8;-5-35-42-44-47-;-8-9-
05/12/2015;29;30;14;46;40;3;6;-14-29-30-40-46-;-3-6-
05/08/2015;14;19;49;7;47;10;3;-7-14-19-47-49-;-3-10-
05/05/2015;1;17;10;42;20;9;8;-1-10-17-20-42-;-8-9-
05/01/2015;19;26;20;25;3;6;10;-3-19-20-25-26-;-6-10-
28/04/2015;36;24;28;26;45;10;7;-24-26-28-36-45-;-7-10-
24/04/2015;31;5;40;29;19;3;10;-5-19-29-31-40-;-3-10-
21/04/2015;14;42;17;6;45;8;1;-6-14-17-42-45-;-1-8-
17/04/2015;39;2;34;24;30;11;8;-2-24-30-34-39-;-8-11-
14/04/2015;49;34;32;24;35;2;1;-24-32-34-35-49-;-1-2-
04/10/2015;25;43;22;23;30;5;9;-22-23-25-30-43-;-5-9-
04/07/2015;39;25;50;44;18;8;5;-18-25-39-44-50-;-5-8-
04/03/2015;39;37;49;29;27;4;2;-27-29-37-39-49-;-2-4-
31/03/2015;8;28;20;24;49;8;9;-8-20-24-28-49-;-8-9-
27/03/2015;30;39;32;44;2;10;6;-2-30-32-39-44-;-6-10-
24/03/2015;40;10;39;24;26;3;10;-10-24-26-39-40-;-3-10-
20/03/2015;3;14;42;48;37;1;10;-3-14-37-42-48-;-1-10-
17/03/2015;11;23;44;38;26;8;1;-11-23-26-38-44-;-1-8-
13/03/2015;4;5;22;18;23;3;1;-4-5-18-22-23-;-1-3-
03/10/2015;31;30;2;6;23;10;2;-2-6-23-30-31-;-2-10-
03/06/2015;47;30;49;50;23;7;2;-23-30-47-49-50-;-2-7-
03/03/2015;6;21;13;8;11;8;7;-6-8-11-13-21-;-7-8-
27/02/2015;17;25;14;5;47;10;9;-5-14-17-25-47-;-9-10-
24/02/2015;3;28;25;34;50;1;11;-3-25-28-34-50-;-1-11-
20/02/2015;37;46;10;4;14;4;7;-4-10-14-37-46-;-4-7-
17/02/2015;5;2;18;43;30;10;1;-2-5-18-30-43-;-1-10-
13/02/2015;24;12;39;44;42;3;11;-12-24-39-42-44-;-3-11-
02/10/2015;30;45;20;13;17;9;10;-13-17-20-30-45-;-9-10-
02/06/2015;50;30;10;26;39;8;7;-10-26-30-39-50-;-7-8-
02/03/2015;50;44;17;31;33;11;7;-17-31-33-44-50-;-7-11-
30/01/2015;9;24;15;13;19;3;8;-9-13-15-19-24-;-3-8-
27/01/2015;10;33;5;31;40;10;8;-5-10-31-33-40-;-8-10-
23/01/2015;30;45;29;38;6;8;1;-6-29-30-38-45-;-1-8-
20/01/2015;33;47;15;41;44;10;8;-15-33-41-44-47-;-8-10-
16/01/2015;34;32;29;30;46;6;3;-29-30-32-34-46-;-3-6-
13/01/2015;34;31;21;8;17;10;9;-8-17-21-31-34-;-9-10-
01/09/2015;6;32;45;21;24;1;11;-6-21-24-32-45-;-1-11-
01/06/2015;20;38;30;14;49;4;3;-14-20-30-38-49-;-3-4-
01/02/2015;24;25;49;28;22;3;6;-22-24-25-28-49-;-3-6-
30/12/2014;6;18;39;50;44;11;8;-6-18-39-44-50-;-8-11-
26/12/2014;26;45;27;49;17;2;3;-17-26-27-45-49-;-2-3-
23/12/2014;49;25;9;19;8;10;2;-8-9-19-25-49-;-2-10-
19/12/2014;39;44;23;29;31;5;8;-23-29-31-39-44-;-5-8-
16/12/2014;13;7;3;25;12;5;8;-3-7-12-13-25-;-5-8-
12/12/2014;28;2;15;31;37;4;6;-2-15-28-31-37-;-4-6-
12/09/2014;31;1;3;42;46;11;4;-1-3-31-42-46-;-4-11-
12/05/2014;5;8;48;47;37;3;2;-5-8-37-47-48-;-2-3-
