date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
12/03/2013;50;4;10;2;22;5;8;-2-4-10-22-50-;-5-8-
08/03/2013;20;42;23;28;3;8;11;-3-20-23-28-42-;-8-11-
05/03/2013;33;31;19;8;39;7;2;-8-19-31-33-39-;-2-7-
01/03/2013;1;11;36;29;42;4;5;-1-11-29-36-42-;-4-5-
26/02/2013;12;13;17;3;30;6;2;-3-12-13-17-30-;-2-6-
22/02/2013;15;37;36;16;28;2;11;-15-16-28-36-37-;-2-11-
19/02/2013;28;30;44;12;15;9;8;-12-15-28-30-44-;-8-9-
15/02/2013;2;4;42;28;22;4;9;-2-4-22-28-42-;-4-9-
12/02/2013;28;25;5;11;16;7;9;-5-11-16-25-28-;-7-9-
08/02/2013;14;44;11;34;9;11;10;-9-11-14-34-44-;-10-11-
05/02/2013;25;6;45;40;31;6;7;-6-25-31-40-45-;-6-7-
01/02/2013;37;5;34;38;21;1;6;-5-21-34-37-38-;-1-6-
29/01/2013;9;16;36;26;39;6;2;-9-16-26-36-39-;-2-6-
25/01/2013;3;10;37;18;31;2;4;-3-10-18-31-37-;-2-4-
22/01/2013;45;10;48;1;44;4;1;-1-10-44-45-48-;-1-4-
18/01/2013;39;26;27;30;4;10;3;-4-26-27-30-39-;-3-10-
15/01/2013;47;42;22;40;38;11;1;-22-38-40-42-47-;-1-11-
11/01/2013;37;22;29;4;41;7;4;-4-22-29-37-41-;-4-7-
08/01/2013;22;26;47;2;20;9;5;-2-20-22-26-47-;-5-9-
04/01/2013;4;10;27;22;41;10;8;-4-10-22-27-41-;-8-10-
01/01/2013;36;49;2;7;8;11;1;-2-7-8-36-49-;-1-11-
28/12/2012;26;49;27;24;17;3;5;-17-24-26-27-49-;-3-5-
25/12/2012;14;20;32;23;18;3;10;-14-18-20-23-32-;-3-10-
21/12/2012;40;5;3;42;22;3;10;-3-5-22-40-42-;-3-10-
18/12/2012;35;14;44;18;20;5;2;-14-18-20-35-44-;-2-5-
14/12/2012;40;29;11;43;10;11;3;-10-11-29-40-43-;-3-11-
11/12/2012;50;4;9;1;43;6;8;-1-4-9-43-50-;-6-8-
07/12/2012;10;18;31;42;16;2;5;-10-16-18-31-42-;-2-5-
04/12/2012;29;5;28;44;10;2;4;-5-10-28-29-44-;-2-4-
30/11/2012;18;23;40;24;10;3;4;-10-18-23-24-40-;-3-4-
27/11/2012;49;44;6;10;23;7;1;-6-10-23-44-49-;-1-7-
23/11/2012;11;20;40;9;1;5;1;-1-9-11-20-40-;-1-5-
20/11/2012;42;28;45;30;49;10;5;-28-30-42-45-49-;-5-10-
16/11/2012;15;19;41;23;10;2;9;-10-15-19-23-41-;-2-9-
13/11/2012;29;11;21;24;16;6;2;-11-16-21-24-29-;-2-6-
09/11/2012;47;28;14;21;22;5;4;-14-21-22-28-47-;-4-5-
06/11/2012;35;25;20;41;7;1;9;-7-20-25-35-41-;-1-9-
02/11/2012;6;10;3;44;11;3;4;-3-6-10-11-44-;-3-4-
30/10/2012;23;44;25;24;31;2;3;-23-24-25-31-44-;-2-3-
26/10/2012;9;5;6;38;27;5;11;-5-6-9-27-38-;-5-11-
23/10/2012;1;35;38;50;28;2;10;-1-28-35-38-50-;-2-10-
19/10/2012;16;40;44;37;29;8;10;-16-29-37-40-44-;-8-10-
16/10/2012;41;10;40;49;32;2;8;-10-32-40-41-49-;-2-8-
12/10/2012;35;7;17;43;6;2;8;-6-7-17-35-43-;-2-8-
09/10/2012;23;8;10;25;2;8;9;-2-8-10-23-25-;-8-9-
05/10/2012;19;16;18;21;9;3;2;-9-16-18-19-21-;-2-3-
02/10/2012;16;42;21;36;4;8;7;-4-16-21-36-42-;-7-8-
28/09/2012;20;26;30;33;23;6;9;-20-23-26-30-33-;-6-9-
25/09/2012;48;25;27;49;7;1;4;-7-25-27-48-49-;-1-4-
21/09/2012;41;4;34;43;19;7;11;-4-19-34-41-43-;-7-11-
18/09/2012;38;7;39;44;6;7;9;-6-7-38-39-44-;-7-9-
14/09/2012;27;10;44;23;3;9;7;-3-10-23-27-44-;-7-9-
11/09/2012;15;6;37;22;44;2;4;-6-15-22-37-44-;-2-4-
07/09/2012;15;35;13;30;42;4;6;-13-15-30-35-42-;-4-6-
04/09/2012;18;39;17;44;11;10;5;-11-17-18-39-44-;-5-10-
31/08/2012;31;28;16;48;33;11;7;-16-28-31-33-48-;-7-11-
28/08/2012;1;26;25;44;18;5;4;-1-18-25-26-44-;-4-5-
24/08/2012;6;5;19;37;12;7;3;-5-6-12-19-37-;-3-7-
21/08/2012;17;5;38;4;48;4;3;-4-5-17-38-48-;-3-4-
17/08/2012;19;25;33;44;28;8;2;-19-25-28-33-44-;-2-8-
14/08/2012;45;16;42;1;38;9;10;-1-16-38-42-45-;-9-10-
10/08/2012;50;21;17;48;11;9;10;-11-17-21-48-50-;-9-10-
07/08/2012;20;50;34;46;27;3;2;-20-27-34-46-50-;-2-3-
03/08/2012;34;35;42;24;46;5;1;-24-34-35-42-46-;-1-5-
31/07/2012;35;39;4;36;29;9;8;-4-29-35-36-39-;-8-9-
