date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
27/09/2024;7;21;38;20;27;12;5;-7-20-21-27-38-;-5-12-
24/09/2024;20;21;49;36;18;5;3;-18-20-21-36-49-;-3-5-
20/09/2024;16;37;34;25;29;3;7;-16-25-29-34-37-;-3-7-
17/09/2024;30;32;20;41;44;10;1;-20-30-32-41-44-;-1-10-
13/09/2024;31;42;10;15;17;4;12;-10-15-17-31-42-;-4-12-
10/09/2024;48;46;6;29;47;9;2;-6-29-46-47-48-;-2-9-
06/09/2024;34;47;14;12;41;3;4;-12-14-34-41-47-;-3-4-
03/09/2024;7;9;11;45;16;5;2;-7-9-11-16-45-;-2-5-
30/08/2024;3;24;42;33;27;6;4;-3-24-27-33-42-;-4-6-
27/08/2024;1;47;42;8;11;11;4;-1-8-11-42-47-;-4-11-
23/08/2024;50;47;24;9;15;8;9;-9-15-24-47-50-;-8-9-
20/08/2024;10;18;13;26;7;12;3;-7-10-13-18-26-;-3-12-
16/08/2024;49;45;15;29;17;10;1;-15-17-29-45-49-;-1-10-
13/08/2024;15;16;40;47;39;1;6;-15-16-39-40-47-;-1-6-
09/08/2024;33;23;25;44;21;4;10;-21-23-25-33-44-;-4-10-
06/08/2024;41;27;50;1;18;2;12;-1-18-27-41-50-;-2-12-
02/08/2024;12;7;33;5;46;3;12;-5-7-12-33-46-;-3-12-
30/07/2024;28;37;9;38;25;2;8;-9-25-28-37-38-;-2-8-
26/07/2024;35;37;23;19;4;8;4;-4-19-23-35-37-;-4-8-
23/07/2024;8;10;16;34;4;8;4;-4-8-10-16-34-;-4-8-
19/07/2024;44;22;35;48;15;6;7;-15-22-35-44-48-;-6-7-
16/07/2024;39;35;2;36;32;7;8;-2-32-35-36-39-;-7-8-
12/07/2024;12;39;24;25;18;10;8;-12-18-24-25-39-;-8-10-
09/07/2024;28;15;19;39;6;7;11;-6-15-19-28-39-;-7-11-
05/07/2024;29;47;31;13;11;11;1;-11-13-29-31-47-;-1-11-
02/07/2024;46;7;2;34;35;6;8;-2-7-34-35-46-;-6-8-
28/06/2024;10;18;35;16;22;10;1;-10-16-18-22-35-;-1-10-
25/06/2024;14;16;49;45;37;5;7;-14-16-37-45-49-;-5-7-
21/06/2024;4;3;11;7;17;12;3;-3-4-7-11-17-;-3-12-
18/06/2024;34;11;36;33;3;12;1;-3-11-33-34-36-;-1-12-
14/06/2024;13;2;16;24;32;7;1;-2-13-16-24-32-;-1-7-
11/06/2024;48;15;7;34;45;7;9;-7-15-34-45-48-;-7-9-
07/06/2024;30;26;15;37;16;8;5;-15-16-26-30-37-;-5-8-
04/06/2024;43;7;6;9;14;4;3;-6-7-9-14-43-;-3-4-
31/05/2024;16;33;4;34;7;8;7;-4-7-16-33-34-;-7-8-
28/05/2024;18;16;35;41;36;6;7;-16-18-35-36-41-;-6-7-
24/05/2024;12;9;22;18;50;1;3;-9-12-18-22-50-;-1-3-
21/05/2024;13;11;48;14;34;9;7;-11-13-14-34-48-;-7-9-
17/05/2024;31;41;46;32;18;10;1;-18-31-32-41-46-;-1-10-
14/05/2024;35;2;8;28;17;7;9;-2-8-17-28-35-;-7-9-
10/05/2024;29;44;13;48;28;12;4;-13-28-29-44-48-;-4-12-
07/05/2024;45;35;42;36;41;11;6;-35-36-41-42-45-;-6-11-
03/05/2024;6;49;9;30;10;4;3;-6-9-10-30-49-;-3-4-
30/04/2024;24;47;13;22;33;5;1;-13-22-24-33-47-;-1-5-
26/04/2024;47;2;39;20;40;8;4;-2-20-39-40-47-;-4-8-
23/04/2024;9;49;11;6;32;2;10;-6-9-11-32-49-;-2-10-
19/04/2024;10;20;46;40;44;1;3;-10-20-40-44-46-;-1-3-
16/04/2024;39;31;46;29;22;3;7;-22-29-31-39-46-;-3-7-
12/04/2024;45;16;12;2;3;11;2;-2-3-12-16-45-;-2-11-
