date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant
30/10/2009;35;9;33;38;40;6;2;-9-33-35-38-40-;-2-6-
23/10/2009;20;6;18;29;31;8;2;-6-18-20-29-31-;-2-8-
16/10/2009;23;30;31;47;12;3;4;-12-23-30-31-47-;-3-4-
09/10/2009;29;11;46;7;50;4;7;-7-11-29-46-50-;-4-7-
02/10/2009;44;29;24;23;22;5;1;-22-23-24-29-44-;-1-5-
25/09/2009;6;21;18;17;34;9;3;-6-17-18-21-34-;-3-9-
18/09/2009;30;16;41;38;6;2;4;-6-16-30-38-41-;-2-4-
11/09/2009;42;15;12;35;43;6;4;-12-15-35-42-43-;-4-6-
04/09/2009;20;39;6;9;38;9;3;-6-9-20-38-39-;-3-9-
28/08/2009;37;41;49;36;8;7;5;-8-36-37-41-49-;-5-7-
21/08/2009;16;42;31;7;4;5;3;-4-7-16-31-42-;-3-5-
14/08/2009;30;5;8;49;24;9;3;-5-8-24-30-49-;-3-9-
07/08/2009;22;10;31;24;20;7;2;-10-20-22-24-31-;-2-7-
31/07/2009;26;9;20;21;5;6;3;-5-9-20-21-26-;-3-6-
24/07/2009;15;47;35;25;14;9;5;-14-15-25-35-47-;-5-9-
17/07/2009;17;50;8;2;32;3;7;-2-8-17-32-50-;-3-7-
10/07/2009;42;20;6;16;46;1;6;-6-16-20-42-46-;-1-6-
03/07/2009;29;47;46;34;21;6;8;-21-29-34-46-47-;-6-8-
26/06/2009;21;6;11;39;30;8;2;-6-11-21-30-39-;-2-8-
19/06/2009;20;17;16;4;29;7;5;-4-16-17-20-29-;-5-7-
12/06/2009;50;14;6;16;34;6;4;-6-14-16-34-50-;-4-6-
05/06/2009;35;19;40;26;11;2;5;-11-19-26-35-40-;-2-5-
29/05/2009;30;47;2;37;5;6;3;-2-5-30-37-47-;-3-6-
22/05/2009;43;4;14;33;13;6;1;-4-13-14-33-43-;-1-6-
15/05/2009;19;8;42;18;20;5;9;-8-18-19-20-42-;-5-9-
08/05/2009;4;29;23;31;24;9;8;-4-23-24-29-31-;-8-9-
01/05/2009;38;47;31;19;5;3;5;-5-19-31-38-47-;-3-5-
24/04/2009;21;4;24;14;41;5;8;-4-14-21-24-41-;-5-8-
17/04/2009;7;4;21;44;47;1;5;-4-7-21-44-47-;-1-5-
10/04/2009;37;14;9;46;16;2;4;-9-14-16-37-46-;-2-4-
03/04/2009;46;24;32;20;2;1;9;-2-20-24-32-46-;-1-9-
27/03/2009;25;42;36;33;38;6;7;-25-33-36-38-42-;-6-7-
20/03/2009;31;12;35;23;16;4;6;-12-16-23-31-35-;-4-6-
13/03/2009;36;42;26;12;24;1;4;-12-24-26-36-42-;-1-4-
06/03/2009;13;35;25;17;19;5;6;-13-17-19-25-35-;-5-6-
27/02/2009;9;44;5;37;45;9;6;-5-9-37-44-45-;-6-9-
20/02/2009;13;48;9;12;14;1;2;-9-12-13-14-48-;-1-2-
13/02/2009;33;36;40;22;42;1;2;-22-33-36-40-42-;-1-2-
06/02/2009;36;30;20;40;10;3;5;-10-20-30-36-40-;-3-5-
30/01/2009;4;34;35;46;29;5;8;-4-29-34-35-46-;-5-8-
23/01/2009;36;49;33;40;32;2;8;-32-33-36-40-49-;-2-8-
16/01/2009;50;22;17;3;49;3;6;-3-17-22-49-50-;-3-6-
09/01/2009;22;7;15;28;48;4;1;-7-15-22-28-48-;-1-4-
02/01/2009;48;30;29;37;36;1;6;-29-30-36-37-48-;-1-6-
26/12/2008;44;26;2;1;50;1;7;-1-2-26-44-50-;-1-7-
19/12/2008;29;50;46;28;40;5;7;-28-29-40-46-50-;-5-7-
12/12/2008;2;19;42;28;49;7;2;-2-19-28-42-49-;-2-7-
05/12/2008;35;8;21;45;4;5;8;-4-8-21-35-45-;-5-8-
28/11/2008;8;25;11;41;16;4;2;-8-11-16-25-41-;-2-4-
21/11/2008;50;49;21;9;14;8;3;-9-14-21-49-50-;-3-8-
14/11/2008;14;26;10;8;21;4;3;-8-10-14-21-26-;-3-4-
07/11/2008;9;1;17;12;18;3;4;-1-9-12-17-18-;-3-4-
31/10/2008;34;25;3;41;18;5;2;-3-18-25-34-41-;-2-5-
24/10/2008;45;7;15;16;17;6;9;-7-15-16-17-45-;-6-9-
17/10/2008;50;12;10;3;42;1;5;-3-10-12-42-50-;-1-5-
10/10/2008;15;31;22;4;41;6;1;-4-15-22-31-41-;-1-6-
